FactuurNummer,FactuurDatum,LeverancierID,KlantID,Verkoopcategorie,Subcategorie,Product,Bedrag
14523,1-1-2010,19,8532,Boeken en Onderwijs,Educatieve materialen,LEGO Education Mindstorms Robotkit voor STEM-onderwijs,79.9
6729,2-1-2010,27,2586,Sport en Recreatie:,Fietsen,Specialized Turbo Vado E-bike voor elektrische ondersteuning,497.3
9268,2-1-2010,14,4735,Reizen en Toerisme:,Hotelaccommodaties,Luxe Suite in Marriott Amsterdam met uitzicht op grachten,78.5
9803,2-1-2010,24,14839,Sport en Recreatie:,Sportuitrusting (tennisrackets, golfclubs, voetballen),Babolat Pure Drive Junior Tennisracket voor jonge spelers,173.6
17684,2-1-2010,14,12209,Sport en Recreatie:,Sportschoenen,Brooks Ghost 14 voor neutrale hardlopers,134.7
6389,3-1-2010,29,3305,Voeding:,Verpakte snacks,Kinder Bueno Chocoladerepen als zoete traktatie,8.1
10386,3-1-2010,27,14402,Huishoudelijke Artikelen:,Keukenapparatuur (blenders, koffiezetapparaten, magnetrons),Cuisinart IJsmachine voor huisgemaakt ijs,72.8
3459,4-1-2010,26,14243,Huishoudelijke Artikelen:,Meubels (banken, tafels, stoelen),Vintage dressoir met opbergruimte,644.0
13919,4-1-2010,5,8633,Auto en Transport:,Accessoires (automatten, stoelhoezen, luchtverfrissers),Car Trash Can voor netheid en organisatie,17.7
7980,5-1-2010,19,3423,Reizen en Toerisme:,Reisverzekeringen,Single-Trip Reisverzekering voor Europese stedentrip,168.4
8329,5-1-2010,13,7911,Elektronica:,Slimme horloges,Fossil Gen 5 met stijlvol design en Wear OS,437.9
8487,5-1-2010,1,12606,Schoonheids- en Verzorgingsproducten:,Haarverzorgingsproducten,Moroccanoil Treatment voor glans en hydratatie,5.1
10902,5-1-2010,18,8037,Schoonheids- en Verzorgingsproducten:,Huidverzorgingsproducten,Neutrogena Hydro Boost Water Gel voor verfrissing,28.2
14103,5-1-2010,4,1801,Boeken en Onderwijs:,Schrijfwaren,Pilot G2 Gel Ink Pennen voor vloeiend schrijven,5.3
16967,5-1-2010,3,13603,Boeken en Onderwijs:,Fictie en non-fictie boeken,Becoming door Michelle Obama,18.9
17552,5-1-2010,3,11612,Kleding en Mode:,Schoenen,Espadrilles met jute zolen,140.9
18048,5-1-2010,14,10393,Voeding:,Verse producten (groenten, fruit, vlees, vis),Verse zalmfilet voor gezonde maaltijden,5.7
19341,5-1-2010,16,3843,Woondecoratie:,Kussens en dekens,Gebreide Deken met Grof Patroon voor textuur,62.4
20109,5-1-2010,27,7449,Auto en Transport:,Autowas- en reinigingsproducten,Armor All Car Interior Cleaner voor interieuronderhoud,28.2
6137,6-1-2010,11,2543,Schoonheids- en Verzorgingsproducten:,Make-up,Maybelline Great Lash Mascara voor volle wimpers,28.7
6956,6-1-2010,1,13974,Sport en Recreatie:,Sportuitrusting (tennisrackets, golfclubs, voetballen),Wilson Blade Tennisracket voor precisie en kracht,55.5
9561,6-1-2010,8,1785,Huishoudelijke Artikelen:,Huishoudelijke apparaten (koelkasten, wasmachines, stofzuigers),KitchenAid Staande Mixer voor bakliefhebbers,617.9
15190,6-1-2010,11,13506,Woondecoratie:,Kussens en dekens,Gewatteerd Sierkussen voor extra comfort,66.5
18970,6-1-2010,7,14698,Voeding:,Verse producten (groenten, fruit, vlees, vis),Biologische appels van lokale boerderij,5.8
10494,7-1-2010,18,2166,Woondecoratie:,Kussens en dekens,Pluizige Decoratieve Kussens voor woonkamer,76.7
12946,7-1-2010,4,5628,Auto en Transport:,Fictie en non-fictie boeken,Becoming door Michelle Obama,17.7
15080,7-1-2010,9,12830,Reizen en Toerisme:,Reispakketten,Stedentrip Pakket naar Londen met bezienswaardigheden,1960.9
20493,7-1-2010,28,871,Auto en Transport:,Fietsen en scooters,Trek Dual Sport+ Elektrische Fiets voor veelzijdigheid,813.8
2547,8-1-2010,23,2465,Huishoudelijke Artikelen:,Sportkleding,Puma Running Shorts voor comfort en bewegingsvrijheid,94.9
5146,8-1-2010,24,8245,Kleding en Mode:,Hoeden,Klassieke fedora hoed van vilt,33.1
7246,8-1-2010,11,923,Sport en Recreatie:,Fitnessapparatuur,TRX Suspension Trainer voor lichaamsgewichttraining,1169.0
7281,8-1-2010,19,11237,Auto en Transport:,Autowas- en reinigingsproducten,Chemical Guys Microfiber Wash Mitt voor krasvrij reinigen,10.0
12356,8-1-2010,23,1234,Schoonheids- en Verzorgingsproducten:,Bad- en lichaamsproducten,Dove Deep Moisture Body Wash voor hydratatie,5.5
12548,8-1-2010,28,5278,Boeken en Onderwijs:,Educatieve materialen,LEGO Education Mindstorms Robotkit voor STEM-onderwijs,85.3
4774,9-1-2010,13,13275,Reizen en Toerisme:,Activiteiten en rondleidingen,Snorkelavontuur in het Great Barrier Reef, Australi ,75.2
5378,9-1-2010,25,3226,Kleding en Mode:,T-shirts,Gestreept T-shirt met boothals,32.7
13708,9-1-2010,14,9025,Schoonheids- en Verzorgingsproducten:,Haarverzorgingsproducten,Moroccanoil Treatment voor glans en hydratatie,5.4
19246,9-1-2010,17,5003,Voeding:,Bakkerijproducten,Versgebakken stokbrood voor bij het diner,5.3
8115,10-1-2010,5,6539,Kleding en Mode:,Schoenen,Hoge hakken met enkelbandje,105.9
10297,10-1-2010,3,7887,Huishoudelijke Artikelen:,Sportkleding,Under Armour HeatGear T-shirt voor intensieve training,68.3
14726,10-1-2010,28,11720,Huishoudelijke Artikelen:,Keukenapparatuur (blenders, koffiezetapparaten, magnetrons),Panasonic Inverter Magnetronoven voor snel opwarmen,116.7
5849,11-1-2010,8,4499,Sport en Recreatie:,Fitnessapparatuur,Bowflex SelectTech Halterset voor veelzijdige krachttraining,336.2
5941,11-1-2010,28,4531,Reizen en Toerisme:,Reispakketten,Cultuur en Historie Rondreis door Itali ,1240.9
6094,11-1-2010,27,9876,Kleding en Mode:,Broeken,Legging met hoge taille en sportieve details,76.8
7728,11-1-2010,13,3459,Sport en Recreatie:,Fietsen,BMX-fiets voor tricks en stunts,964.0
4561,12-1-2010,20,5582,Voeding:,Zuivelproducten,Yoplait Fruitige Yoghurt met aardbeiensmaak,6.8
5496,12-1-2010,22,3566,Boeken en Onderwijs:,Schrijfwaren,TUL Gel Ballpoint Pennen voor ergonomisch schrijven,10.3
7291,12-1-2010,1,3136,Elektronica:,Laptops,ASUS ROG Zephyrus G14 voor gamers en creatievelingen,2122.4
8581,12-1-2010,28,12366,Voeding:,Drankjes (frisdrank, sap, water),Tropicana Apple Juice voor verfrissing,4.7
9417,12-1-2010,1,5944,Auto en Transport:,Fictie en non-fictie boeken,The Alchemist door Paulo Coelho,14.4
12090,12-1-2010,12,10391,Reizen en Toerisme:,Reisverzekeringen,Jaarlijkse Reisverzekering voor frequente reizigers,68.1
13282,12-1-2010,9,12052,Reizen en Toerisme:,Activiteiten en rondleidingen,Snorkelavontuur in het Great Barrier Reef, Australi ,83.4
15567,12-1-2010,25,9582,Schoonheids- en Verzorgingsproducten:,Haarverzorgingsproducten,Pantene Pro-V Shampoo voor volume en zachtheid,16.2
1755,13-1-2010,2,6412,Auto en Transport:,Fietsen en scooters,Razor A5 Lux Step Scooter voor kinderen en tieners,171.2
7516,13-1-2010,10,695,Kleding en Mode:,Hoeden,Klassieke fedora hoed van vilt,31.8
20463,13-1-2010,26,6547,Huishoudelijke Artikelen:,Huishoudelijke apparaten (koelkasten, wasmachines, stofzuigers),LG InstaView Koelkast met door-in-door functie,298.8
5472,14-1-2010,29,5055,Auto en Transport:,Fictie en non-fictie boeken,Becoming door Michelle Obama,18.7
10671,14-1-2010,11,11123,Sport en Recreatie:,Fitnessapparatuur,NordicTrack Treadmill voor indoor hardlopen,408.0
19162,14-1-2010,19,8772,Schoonheids- en Verzorgingsproducten:,Parfums,Dolce & Gabbana Light Blue Eau Intense voor zomerse aroma's,92.4
19311,14-1-2010,21,13206,Elektronica:,Slimme horloges,Garmin Forerunner 945 voor hardlopers en sporters,374.5
3627,15-1-2010,23,1656,Schoonheids- en Verzorgingsproducten:,Huidverzorgingsproducten,La Roche-Posay Effaclar Cleanser voor acne-gevoelige huid,5.3
4868,15-1-2010,17,1075,Huishoudelijke Artikelen:,Meubels (banken, tafels, stoelen),Vintage dressoir met opbergruimte,619.2
9209,15-1-2010,7,11915,Sport en Recreatie:,Sportuitrusting (tennisrackets, golfclubs, voetballen),Babolat Pure Drive Junior Tennisracket voor jonge spelers,171.4
15716,15-1-2010,9,5779,Boeken en Onderwijs:,Fictie en non-fictie boeken,Sapiens: A Brief History of Humankind door Yuval Noah Harari,9.3
3091,16-1-2010,20,13547,Schoonheids- en Verzorgingsproducten:,Make-up,Fenty Beauty Pro Filt'r Foundation voor een egale teint,37.7
10027,16-1-2010,18,11207,Boeken en Onderwijs:,Fictie en non-fictie boeken,The Alchemist door Paulo Coelho,13.1
11873,16-1-2010,28,4570,Voeding:,Verpakte snacks,Doritos Nacho Cheese Tortilla Chips,7.0
18023,16-1-2010,1,6455,Woondecoratie:,Schilderijen en wanddecoratie,Fotolijsten Set voor het tonen van dierbare herinneringen,167.8
14674,17-1-2010,26,12213,Elektronica:,Slimme horloges,Fossil Gen 5 met stijlvol design en Wear OS,427.0
17177,17-1-2010,10,10844,Kleding en Mode:,Hoeden,Beanies in verschillende kleuren,35.9
4023,18-1-2010,8,3450,Auto en Transport:,Autowas- en reinigingsproducten,Stoner Invisible Glass Cleaner voor streepvrije ramen,7.6
5918,18-1-2010,12,12886,Kleding en Mode:,Schoenen,Chelsea laarzen met su de afwerking,115.8
9887,18-1-2010,4,12231,Huishoudelijke Artikelen:,Beddengoed en handdoeken,Gewatteerde sprei met bloemenmotief,114.2
10753,18-1-2010,22,11923,Woondecoratie:,Schilderijen en wanddecoratie,Metalen Muurdecoratie met geometrisch patroon,73.8
14243,18-1-2010,25,2180,Reizen en Toerisme:,Vliegtickets,Business Class Vliegticket naar New York,1292.4
18329,18-1-2010,24,1003,Auto en Transport:,Accessoires (automatten, stoelhoezen, luchtverfrissers),Febreze Car Vent Clip Luchtverfrisser voor frisse geur,14.7
11273,19-1-2010,20,5751,Voeding:,Verpakte snacks,Nature Valley Granola Bars voor onderweg,4.3
20439,19-1-2010,17,3938,Sport en Recreatie:,Sportuitrusting (tennisrackets, golfclubs, voetballen),Callaway Mavrik Golfclubs voor afstand en nauwkeurigheid,120.6
3379,20-1-2010,25,13228,Schoonheids- en Verzorgingsproducten:,Bad- en lichaamsproducten,Dove Deep Moisture Body Wash voor hydratatie,5.6
19728,20-1-2010,17,4119,Boeken en Onderwijs:,Studieboeken,Organic Chemistry door Paula Yurkanis Bruice,119.6
