Datum,Etmaalsom neerslag,Hoogste uursom neerslag,Etmaalgemiddelde temperatuur,Etmaalgemiddelde windsnelheid
1901-01-01,,,-49,
1901-01-02,,,-18,
1901-01-03,,,-26,
1901-01-04,,,-65,
1901-01-05,,,-60,
1901-01-06,,,-100,
1901-01-07,,,-92,
1901-01-08,,,-49,
1901-01-09,,,11,
1901-01-10,,,15,
1901-01-11,,,-19,
1901-01-12,,,-64,
1901-01-13,,,-44,
1901-01-14,,,-24,
1901-01-15,,,7,
1901-01-16,,,-4,
1901-01-17,,,18,
1901-01-18,,,-2,
1901-01-19,,,34,
1901-01-20,,,57,
1901-01-21,,,72,
1901-01-22,,,73,
1901-01-23,,,20,
1901-01-24,,,16,
1901-01-25,,,58,
1901-01-26,,,41,
1901-01-27,,,74,
1901-01-28,,,29,
1901-01-29,,,-3,
1901-01-30,,,7,
1901-01-31,,,7,
1901-02-01,,,1,
1901-02-02,,,-9,
1901-02-03,,,-12,
1901-02-04,,,-44,
1901-02-05,,,-16,
1901-02-06,,,-18,
1901-02-07,,,-24,
1901-02-08,,,16,
1901-02-09,,,20,
1901-02-10,,,21,
1901-02-11,,,1,
1901-02-12,,,-17,
1901-02-13,,,-56,
1901-02-14,,,-77,
1901-02-15,,,-62,
1901-02-16,,,18,
1901-02-17,,,-8,
1901-02-18,,,-22,
1901-02-19,,,-19,
1901-02-20,,,-67,
1901-02-21,,,-52,
1901-02-22,,,-15,
1901-02-23,,,16,
1901-02-24,,,21,
1901-02-25,,,36,
1901-02-26,,,29,
1901-02-27,,,44,
1901-02-28,,,54,
1901-03-01,,,51,
1901-03-02,,,63,
1901-03-03,,,64,
1901-03-04,,,53,
1901-03-05,,,69,
1901-03-06,,,48,
1901-03-07,,,41,
1901-03-08,,,44,
1901-03-09,,,27,
1901-03-10,,,20,
1901-03-11,,,23,
1901-03-12,,,46,
1901-03-13,,,48,
1901-03-14,,,39,
1901-03-15,,,57,
1901-03-16,,,74,
1901-03-17,,,55,
1901-03-18,,,39,
1901-03-19,,,36,
1901-03-20,,,31,
1901-03-21,,,19,
1901-03-22,,,13,
1901-03-23,,,23,
1901-03-24,,,23,
1901-03-25,,,4,
1901-03-26,,,-14,
1901-03-27,,,-16,
1901-03-28,,,-13,
1901-03-29,,,-6,
1901-03-30,,,45,
1901-03-31,,,81,
1901-04-01,,,71,
1901-04-02,,,75,
1901-04-03,,,111,
1901-04-04,,,84,
1901-04-05,,,50,
1901-04-06,,,62,
1901-04-07,,,97,
1901-04-08,,,103,
1901-04-09,,,97,
1901-04-10,,,81,
1901-04-11,,,83,
1901-04-12,,,65,
1901-04-13,,,58,
1901-04-14,,,79,
1901-04-15,,,59,
1901-04-16,,,46,
1901-04-17,,,51,
1901-04-18,,,62,
1901-04-19,,,92,
1901-04-20,,,127,
1901-04-21,,,153,
1901-04-22,,,165,
1901-04-23,,,147,
1901-04-24,,,132,
1901-04-25,,,134,
1901-04-26,,,60,
1901-04-27,,,72,
1901-04-28,,,97,
1901-04-29,,,97,
1901-04-30,,,99,
1901-05-01,,,85,
1901-05-02,,,116,
1901-05-03,,,129,
1901-05-04,,,91,
1901-05-05,,,79,
1901-05-06,,,91,
1901-05-07,,,82,
1901-05-08,,,84,
1901-05-09,,,93,
1901-05-10,,,96,
1901-05-11,,,106,
1901-05-12,,,113,
1901-05-13,,,126,
1901-05-14,,,138,
1901-05-15,,,119,
1901-05-16,,,100,
1901-05-17,,,93,
1901-05-18,,,82,
1901-05-19,,,101,
1901-05-20,,,107,
1901-05-21,,,142,
1901-05-22,,,143,
1901-05-23,,,127,
1901-05-24,,,141,
1901-05-25,,,137,
1901-05-26,,,166,
1901-05-27,,,138,
1901-05-28,,,157,
1901-05-29,,,182,
1901-05-30,,,181,
1901-05-31,,,171,
1901-06-01,,,181,
1901-06-02,,,161,
1901-06-03,,,156,
1901-06-04,,,148,
1901-06-05,,,158,
1901-06-06,,,162,
1901-06-07,,,133,
1901-06-08,,,139,
1901-06-09,,,146,
1901-06-10,,,148,
1901-06-11,,,126,
1901-06-12,,,109,
1901-06-13,,,101,
1901-06-14,,,112,
1901-06-15,,,116,
1901-06-16,,,114,
1901-06-17,,,97,
1901-06-18,,,95,
1901-06-19,,,122,
1901-06-20,,,155,
1901-06-21,,,181,
1901-06-22,,,207,
1901-06-23,,,178,
1901-06-24,,,139,
1901-06-25,,,137,
1901-06-26,,,133,
1901-06-27,,,137,
1901-06-28,,,164,
1901-06-29,,,170,
1901-06-30,,,181,
1901-07-01,,,154,
1901-07-02,,,169,
1901-07-03,,,159,
1901-07-04,,,181,
1901-07-05,,,157,
1901-07-06,,,172,
1901-07-07,,,151,
1901-07-08,,,154,
1901-07-09,,,170,
1901-07-10,,,199,
1901-07-11,,,218,
1901-07-12,,,231,
1901-07-13,,,210,
1901-07-14,,,162,
1901-07-15,,,158,
1901-07-16,,,180,
1901-07-17,,,190,
1901-07-18,,,206,
1901-07-19,,,203,
1901-07-20,,,204,
1901-07-21,,,207,
1901-07-22,,,182,
1901-07-23,,,173,
1901-07-24,,,172,
1901-07-25,,,172,
1901-07-26,,,158,
1901-07-27,,,159,
1901-07-28,,,172,
1901-07-29,,,188,
1901-07-30,,,198,
1901-07-31,,,194,
1901-08-01,,,183,
1901-08-02,,,179,
1901-08-03,,,166,
1901-08-04,,,171,
1901-08-05,,,163,
1901-08-06,,,142,
1901-08-07,,,161,
1901-08-08,,,182,
1901-08-09,,,196,
1901-08-10,,,215,
1901-08-11,,,180,
1901-08-12,,,164,
1901-08-13,,,156,
1901-08-14,,,180,
1901-08-15,,,159,
1901-08-16,,,154,
1901-08-17,,,151,
1901-08-18,,,176,
1901-08-19,,,184,
1901-08-20,,,159,
1901-08-21,,,159,
1901-08-22,,,157,
1901-08-23,,,162,
1901-08-24,,,154,
1901-08-25,,,157,
1901-08-26,,,152,
1901-08-27,,,131,
1901-08-28,,,127,
1901-08-29,,,118,
1901-08-30,,,142,
1901-08-31,,,151,
1901-09-01,,,126,
1901-09-02,,,126,
1901-09-03,,,134,
1901-09-04,,,133,
1901-09-05,,,120,
1901-09-06,,,117,
1901-09-07,,,128,
1901-09-08,,,148,
1901-09-09,,,168,
1901-09-10,,,166,
1901-09-11,,,144,
1901-09-12,,,145,
1901-09-13,,,141,
1901-09-14,,,131,
1901-09-15,,,129,
1901-09-16,,,137,
1901-09-17,,,136,
1901-09-18,,,129,
1901-09-19,,,119,
1901-09-20,,,152,
1901-09-21,,,182,
1901-09-22,,,167,
1901-09-23,,,177,
1901-09-24,,,165,
1901-09-25,,,163,
1901-09-26,,,157,
1901-09-27,,,134,
1901-09-28,,,128,
1901-09-29,,,143,
1901-09-30,,,147,
1901-10-01,,,152,
1901-10-02,,,158,
1901-10-03,,,147,
1901-10-04,,,124,
1901-10-05,,,121,
1901-10-06,,,94,
1901-10-07,,,88,
1901-10-08,,,93,
1901-10-09,,,111,
1901-10-10,,,88,
1901-10-11,,,102,
1901-10-12,,,94,
1901-10-13,,,84,
1901-10-14,,,88,
1901-10-15,,,91,
1901-10-16,,,101,
1901-10-17,,,118,
1901-10-18,,,128,
1901-10-19,,,119,
1901-10-20,,,109,
1901-10-21,,,102,
1901-10-22,,,86,
1901-10-23,,,84,
1901-10-24,,,82,
1901-10-25,,,96,
1901-10-26,,,78,
1901-10-27,,,66,
1901-10-28,,,93,
1901-10-29,,,96,
1901-10-30,,,88,
1901-10-31,,,58,
1901-11-01,,,58,
1901-11-02,,,56,
1901-11-03,,,40,
1901-11-04,,,21,
1901-11-05,,,15,
1901-11-06,,,26,
1901-11-07,,,84,
1901-11-08,,,88,
1901-11-09,,,86,
1901-11-10,,,87,
1901-11-11,,,92,
1901-11-12,,,75,
1901-11-13,,,79,
1901-11-14,,,53,
1901-11-15,,,22,
1901-11-16,,,11,
1901-11-17,,,28,
1901-11-18,,,61,
1901-11-19,,,90,
1901-11-20,,,97,
1901-11-21,,,94,
1901-11-22,,,54,
1901-11-23,,,7,
1901-11-24,,,-7,
1901-11-25,,,37,
1901-11-26,,,47,
1901-11-27,,,-1,
1901-11-28,,,45,
