Datum;Tijd;Parameter;Locatie;Waarde;Eenheid;Bemonsteringshoogte;Referentievlak;
19-7-2023;15:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Terherne Boezem Oostzijde;-53;cm;-999999999;NAP;
19-7-2023;16:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Terherne Boezem Oostzijde;-53;cm;-999999999;NAP;
19-7-2023;16:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Terherne Boezem Oostzijde;-53;cm;-999999999;NAP;
19-7-2023;16:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Terherne Boezem Oostzijde;-53;cm;-999999999;NAP;
19-7-2023;16:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Terherne Boezem Oostzijde;-53;cm;-999999999;NAP;
19-7-2023;16:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Terherne Boezem Oostzijde;-53;cm;-999999999;NAP;
19-7-2023;16:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Terherne Boezem Oostzijde;-53;cm;-999999999;NAP;
19-7-2023;17:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Terherne Boezem Oostzijde;-53;cm;-999999999;NAP;
19-7-2023;17:10:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Terherne Boezem Oostzijde;-53;cm;-999999999;NAP;
19-7-2023;17:20:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Terherne Boezem Oostzijde;-52;cm;-999999999;NAP;
19-7-2023;17:30:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Terherne Boezem Oostzijde;-53;cm;-999999999;NAP;
19-7-2023;17:40:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Terherne Boezem Oostzijde;-53;cm;-999999999;NAP;
19-7-2023;17:50:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Terherne Boezem Oostzijde;-53;cm;-999999999;NAP;
19-7-2023;18:00:00;Waterhoogte Oppervlaktewater t.o.v. Normaal Amsterdams Peil in cm;Terherne Boezem Oostzijde;-52;cm;-999999999;NAP;
