Datum;Stand Willem Loresluis;Stand Driewegsluis
19010101;500;498
19010102;500;506
19010103;500;506
19010104;500;501
19010105;500;496
19010106;500;493
19010107;500;500
19010108;500;502
19010109;500;502
19010110;500;504
19010111;500;493
19010112;500;504
19010113;500;503
19010114;500;504
19010115;500;498
19010116;500;502
19010117;500;497
19010118;500;494
19010119;500;499
19010120;500;494
19010121;500;502
19010122;500;497
19010123;500;504
19010124;500;498
19010125;500;503
19010126;500;499
19010127;500;500
19010128;500;500
19010129;500;495
19010130;500;494
19010131;500;496
19010201;500;495
19010202;500;498
19010203;500;503
19010204;500;495
19010205;500;505
19010206;500;506
19010207;500;494
19010208;500;507
19010209;500;505
19010210;500;503
19010211;500;502
19010212;500;506
19010213;500;499
19010214;500;507
19010215;500;495
19010216;500;500
19010217;500;493
19010218;500;502
19010219;500;497
19010220;500;506
19010221;500;493
19010222;500;504
19010223;500;493
19010224;500;504
19010225;500;505
19010226;500;495
19010227;500;499
19010228;500;500
19010301;500;505
19010302;500;502
19010303;500;496
19010304;500;497
19010305;500;495
19010306;500;497
19010307;500;500
19010308;500;496
19010309;500;494
19010310;500;503
19010311;500;495
19010312;500;507
19010313;500;493
19010314;500;504
19010315;500;495
19010316;500;507
19010317;500;506
19010318;500;496
19010319;500;495
19010320;500;504
19010321;500;498
19010322;500;496
19010323;500;500
19010324;500;503
19010325;500;501
19010326;500;505
19010327;500;501
19010328;500;503
19010329;500;494
19010330;500;501
19010331;500;495
19010401;500;501
19010402;500;507
19010403;500;504
19010404;500;506
19010405;500;493
19010406;500;503
19010407;500;493
19010408;500;498
19010409;500;494
19010410;500;501
19010411;500;507
19010412;500;497
19010413;500;503
19010414;500;507
19010415;500;495
19010416;500;501
19010417;500;497
19010418;500;495
19010419;500;502
19010420;500;495
19010421;500;502
19010422;500;497
19010423;500;499
19010424;500;495
19010425;500;502
19010426;500;505
19010427;500;503
19010428;500;507
19010429;500;496
19010430;500;496
19010501;500;494
19010502;500;502
19010503;500;494
19010504;500;497
19010505;500;501
19010506;500;496
19010507;500;506
19010508;500;502
19010509;500;507
19010510;500;496
19010511;500;498
19010512;500;496
19010513;500;503
19010514;500;495
19010515;500;499
19010516;500;505
19010517;500;494
19010518;500;506
19010519;500;502
19010520;500;506
19010521;500;504
19010522;500;506
19010523;500;493
19010524;500;494
19010525;500;495
19010526;500;497
19010527;500;504
19010528;500;498
19010529;500;498
19010530;500;499
19010531;500;493
19010601;500;496
19010602;500;497
19010603;500;493
19010604;500;499
19010605;500;502
19010606;500;501
19010607;500;495
19010608;500;504
19010609;500;500
19010610;500;505
19010611;500;495
19010612;500;506
19010613;500;496
19010614;500;500
19010615;500;503
19010616;500;495
19010617;500;503
19010618;500;506
19010619;500;500
19010620;500;493
19010621;500;493
19010622;500;497
19010623;500;496
19010624;500;496
19010625;500;504
19010626;500;504
19010627;500;506
19010628;500;504
19010629;500;496
19010630;500;498
19010701;500;494
19010702;500;504
19010703;500;499
19010704;500;504
19010705;500;493
19010706;500;504
19010707;500;498
19010708;500;497
19010709;500;505
19010710;500;505
19010711;500;502
19010712;500;506
19010713;500;505
19010714;500;505
19010715;500;505
19010716;500;497
19010717;500;494
19010718;500;502
19010719;500;497
19010720;500;502
19010721;500;506
19010722;500;504
19010723;500;498
19010724;500;493
19010725;500;503
19010726;500;505
19010727;500;498
19010728;500;498
19010729;500;495
19010730;500;502
19010731;500;502
19010801;500;495
19010802;500;500
19010803;500;500
19010804;500;501
19010805;500;502
19010806;500;507
19010807;500;496
19010808;500;497
19010809;500;507
19010810;500;505
19010811;500;495
19010812;500;495
19010813;500;505
19010814;500;499
19010815;500;497
19010816;500;494
19010817;500;494
19010818;500;502
19010819;500;497
19010820;500;504
19010821;500;494
19010822;500;500
19010823;500;500
19010824;500;501
19010825;500;496
19010826;500;507
19010827;500;507
19010828;500;494
19010829;500;500
19010830;500;501
19010831;500;498
19010901;500;499
19010902;500;507
19010903;500;505
19010904;500;494
19010905;500;498
19010906;500;507
19010907;500;495
19010908;500;499
19010909;500;499
19010910;500;506
19010911;500;493
19010912;500;505
19010913;500;500
19010914;500;499
19010915;500;506
19010916;500;495
19010917;500;498
19010918;500;500
19010919;500;499
19010920;500;495
19010921;500;501
19010922;500;493
19010923;500;497
19010924;500;494
19010925;500;502
19010926;500;497
19010927;500;496
19010928;500;494
19010929;500;494
19010930;500;505
19011001;500;501
19011002;500;500
19011003;500;504
19011004;500;500
19011005;500;493
19011006;500;505
19011007;500;504
19011008;500;500
19011009;500;498
19011010;500;497
19011011;500;501
19011012;500;497
19011013;500;499
19011014;500;500
19011015;500;493
19011016;500;494
19011017;500;499
19011018;500;505
19011019;500;493
19011020;500;505
19011021;500;493
19011022;500;500
19011023;500;496
19011024;500;504
19011025;500;502
19011026;500;501
19011027;500;495
19011028;500;499
19011029;500;495
19011030;500;505
19011031;500;505
19011101;500;500
19011102;500;499
19011103;500;504
19011104;500;506
19011105;500;498
19011106;500;507
19011107;500;505
19011108;500;497
19011109;500;505
19011110;500;496
19011111;500;498
19011112;500;503
19011113;500;498
19011114;500;500
19011115;500;503
19011116;500;494
19011117;500;502
19011118;500;506
19011119;500;507
19011120;500;497
19011121;500;499
19011122;500;498
19011123;500;496
19011124;500;504
19011125;500;500
19011126;500;507
19011127;500;500
19011128;500;495
19011129;500;505
19011130;500;499
19011201;500;506
19011202;500;504
19011203;500;493
19011204;500;493
19011205;500;505
19011206;500;498
19011207;500;506
19011208;500;495
19011209;500;507
19011210;500;497
19011211;500;504
19011212;500;496
19011213;500;497
19011214;500;497
19011215;500;494
19011216;500;499
19011217;500;498
19011218;500;505
19011219;500;505
19011220;500;496
19011221;500;502
19011222;500;506
19011223;500;501
19011224;500;501
19011225;500;500
19011226;500;498
19011227;500;506
19011228;500;507
19011229;500;494
19011230;500;496
19011231;500;505
19020101;500;496
19020102;500;493
19020103;500;505
19020104;500;507
19020105;500;497
19020106;500;503
19020107;500;500
19020108;500;500
19020109;500;496
19020110;500;504
19020111;500;494
19020112;500;499
19020113;500;500
19020114;500;502
19020115;500;498
19020116;500;501
19020117;500;493
19020118;500;504
19020119;500;503
19020120;500;500
19020121;500;501
19020122;500;507
19020123;500;501
19020124;500;503
19020125;500;506
19020126;500;493
19020127;500;494
19020128;500;507
19020129;500;497
19020130;500;498
19020131;500;498
19020201;500;499
19020202;500;499
19020203;500;495
19020204;500;506
19020205;500;504
19020206;500;505
19020207;500;500
19020208;500;500
19020209;500;507
19020210;500;497
19020211;500;493
19020212;500;506
19020213;500;504
19020214;500;500
19020215;500;498
19020216;500;501
19020217;500;505
19020218;500;496
19020219;500;506
19020220;500;504
19020221;500;499
19020222;500;498
19020223;500;494
19020224;500;507
19020225;500;493
19020226;500;501
19020227;500;496
19020228;500;495
19020301;500;503
19020302;500;493
19020303;500;493
19020304;500;503
19020305;500;507
19020306;500;499
19020307;500;495
19020308;500;506
19020309;500;501
19020310;500;494
19020311;500;501
19020312;500;500
19020313;500;498
19020314;500;503
19020315;500;499
19020316;500;500
19020317;500;500
19020318;500;500
19020319;500;504
19020320;500;505
19020321;500;493
19020322;500;502
19020323;500;501
19020324;500;498
19020325;500;494
19020326;500;493
19020327;500;494
19020328;500;506
19020329;500;503
19020330;500;499
19020331;500;507
19020401;500;497
19020402;500;502
19020403;500;504
19020404;500;504
19020405;500;499
19020406;500;503
19020407;500;493
19020408;500;497
19020409;500;501
19020410;500;503
19020411;500;495
19020412;500;498
19020413;500;498
19020414;500;498
19020415;500;500
19020416;500;503
19020417;500;494
19020418;500;493
19020419;500;507
19020420;500;496
19020421;500;500
19020422;500;494
19020423;500;504
19020424;500;507
19020425;500;506
19020426;500;505
19020427;500;502
19020428;500;505
19020429;500;504
19020430;500;504
19020501;500;498
19020502;500;506
19020503;500;498
19020504;500;496
19020505;500;502
19020506;500;506
19020507;500;504
19020508;500;495
19020509;500;498
19020510;500;502
19020511;500;503
19020512;500;496
19020513;500;499
19020514;500;497
19020515;500;507
19020516;500;507
19020517;500;495
19020518;500;505
19020519;500;493
19020520;500;495
19020521;500;507
19020522;500;494
19020523;500;505
19020524;500;496
19020525;500;505
19020526;500;503
19020527;500;507
19020528;500;506
19020529;500;496
19020530;500;506
19020531;500;496
19020601;500;507
19020602;500;494
19020603;500;497
19020604;500;507
19020605;500;493
19020606;500;496
19020607;500;499
19020608;500;500
19020609;500;507
19020610;500;507
19020611;500;496
19020612;500;501
19020613;500;497
19020614;500;494
19020615;500;507
19020616;500;497
19020617;500;507
19020618;500;504
19020619;500;505
19020620;500;493
19020621;500;501
19020622;500;506
19020623;500;494
19020624;500;498
19020625;500;493
19020626;500;496
19020627;500;504
19020628;500;504
19020629;500;502
19020630;500;504
19020701;500;505
19020702;500;496
19020703;500;495
19020704;500;505
19020705;500;497
19020706;500;494
19020707;500;494
19020708;500;504
19020709;500;506
19020710;500;501
19020711;500;504
19020712;500;497
19020713;500;505
19020714;500;497
19020715;500;498
19020716;500;499
19020717;500;502
19020718;500;494
19020719;500;498
19020720;500;503
19020721;500;499
19020722;500;500
19020723;500;503
19020724;500;503
19020725;500;494
19020726;500;500
19020727;500;503
19020728;500;503
19020729;500;494
19020730;500;502
19020731;500;499
19020801;500;502
19020802;500;495
19020803;500;502
19020804;500;505
19020805;500;494
19020806;500;503
19020807;500;504
19020808;500;497
19020809;500;504
19020810;500;496
19020811;500;502
19020812;500;500
19020813;500;507
19020814;500;501
19020815;500;504
19020816;500;502
19020817;500;493
19020818;500;504
19020819;500;497
19020820;500;494
19020821;500;500
19020822;500;506
19020823;500;500
19020824;500;495
19020825;500;500
19020826;500;502
19020827;500;501
19020828;500;499
19020829;500;506
19020830;500;504
19020831;500;507
19020901;500;498
19020902;500;506
19020903;500;499
19020904;500;499
19020905;500;495
19020906;500;494
19020907;500;501
19020908;500;499
19020909;500;496
19020910;500;504
19020911;500;503
19020912;500;507
19020913;500;507
19020914;500;507
19020915;500;502
19020916;500;504
19020917;500;495
19020918;500;493
19020919;500;500
19020920;500;505
19020921;500;499
19020922;500;505
19020923;500;505
19020924;500;493
19020925;500;497
19020926;500;505
19020927;500;498
19020928;500;498
19020929;500;499
19020930;500;496
19021001;500;498
19021002;500;501
19021003;500;497
19021004;500;506
19021005;500;493
19021006;500;507
19021007;500;500
19021008;500;494
19021009;500;506
19021010;500;503
19021011;500;493
19021012;500;505
19021013;500;500
19021014;500;502
19021015;500;500
19021016;500;498
19021017;500;503
19021018;500;502
19021019;500;499
19021020;500;505
19021021;500;504
19021022;500;493
19021023;500;496
19021024;500;503
19021025;500;497
19021026;500;495
19021027;500;507
19021028;500;496
19021029;500;496
19021030;500;494
19021031;500;503
19021101;500;496
19021102;500;504
19021103;500;503
19021104;500;506
19021105;500;502
19021106;500;496
19021107;500;496
19021108;500;505
19021109;500;503
19021110;500;507
19021111;500;496
19021112;500;501
19021113;500;495
19021114;500;503
19021115;500;493
19021116;500;507
19021117;500;494
19021118;500;505
19021119;500;499
19021120;500;505
19021121;500;498
19021122;500;496
19021123;500;503
19021124;500;501
19021125;500;498
19021126;500;502
19021127;500;504
19021128;500;493
19021129;500;501
19021130;500;497
19021201;500;501
19021202;500;499
19021203;500;505
19021204;500;494
19021205;500;499
19021206;500;501
19021207;500;494
19021208;500;495
19021209;500;497
19021210;500;499
19021211;500;498
19021212;500;504
19021213;500;496
19021214;500;499
19021215;500;496
19021216;500;498
19021217;500;496
19021218;500;506
19021219;500;498
19021220;500;507
19021221;500;507
19021222;500;501
19021223;500;494
19021224;500;496
19021225;500;506
19021226;500;502
19021227;500;503
19021228;500;498
19021229;500;500
19021230;500;497
19021231;500;497
19030101;500;494
19030102;500;495
19030103;500;501
19030104;500;504
19030105;500;505
19030106;500;502
19030107;500;499
19030108;500;499
19030109;500;503
19030110;500;506
19030111;500;502
19030112;500;497
19030113;500;494
19030114;500;505
19030115;500;495
19030116;500;495
19030117;500;494
19030118;500;493
19030119;500;497
19030120;500;507
19030121;500;502
19030122;500;499
19030123;500;493
19030124;500;496
19030125;500;497
19030126;500;507
19030127;500;498
19030128;500;493
19030129;500;504
19030130;500;500
19030131;500;499
19030201;500;497
19030202;500;493
19030203;500;499
19030204;500;501
19030205;500;506
19030206;500;505
19030207;500;504
19030208;500;494
19030209;500;493
19030210;500;500
19030211;500;505
19030212;500;497
19030213;500;497
19030214;500;494
19030215;500;506
19030216;500;493
19030217;500;493
19030218;500;507
19030219;500;499
19030220;500;498
19030221;500;505
19030222;500;499
19030223;500;499
19030224;500;497
19030225;500;501
19030226;500;503
19030227;500;500
19030228;500;499
19030301;500;500
19030302;500;505
19030303;500;496
19030304;500;496
19030305;500;503
19030306;500;499
19030307;500;498
19030308;500;506
19030309;500;495
19030310;500;496
19030311;500;506
19030312;500;500
19030313;500;500
19030314;500;495
19030315;500;501
19030316;500;496
19030317;500;507
19030318;500;497
19030319;500;498
19030320;500;495
19030321;500;500
19030322;500;499
